country,year,AvgTemperature,suicides/100k pop,HDI for year,gdp_per_capita ($),military_exp,warm/cold
Czech Republic,2003,8.951445966514463,234.88000000000005,,10220.0,1.8927640441762004,cold
Czech Republic,2004,8.538858530661804,203.01999999999998,,12226.000000000002,1.7137031730212897,cold
Czech Republic,2005,8.530136986301374,193.39999999999998,0.847,13960.999999999998,1.790083772061341,cold
Czech Republic,2006,9.075342465753415,178.4,,15895.999999999998,1.5759061579971299,cold
Czech Republic,2007,9.894230769230761,170.78,,19273.0,1.4309147351499993,cold
Czech Republic,2008,9.369352869352868,175.00999999999996,,23811.0,1.23821201023728,cold
Czech Republic,2009,9.141178266178251,179.70999999999995,,20748.0,1.31853707845672,cold
Czech Republic,2010,7.770167427701676,175.62,0.8629999999999999,20862.0,1.20394027554572,cold
Czech Republic,2011,9.258751902587525,186.23999999999998,0.8660000000000002,23010.0,1.08546999012087,cold
Czech Republic,2012,9.06800242865816,196.23,0.8670000000000001,20898.0,1.07081138704484,cold
Czech Republic,2013,8.329832572298326,186.07000000000002,0.8680000000000002,21073.0,1.0261514525656599,cold
Denmark,1997,8.377016742770172,218.46,,35148.0,1.4320269074662095,cold
Denmark,1998,8.152508464142807,188.68,,35709.99999999999,1.4133231465646103,cold
Denmark,1999,8.709096459096452,183.09000000000003,,35763.0,1.4175701110497296,cold
Denmark,2000,9.063752276867033,181.07000000000002,0.8619999999999998,32841.0,1.3807951998721604,cold
Denmark,2001,8.153576864535767,186.17000000000002,,32837.00000000001,1.3447789185725305,cold
Denmark,2002,8.874115112342256,176.51000000000002,,35435.00000000001,1.34937161936052,cold
Denmark,2003,8.395281582952821,156.7,,43129.0,1.3381604507705498,cold
Denmark,2004,8.370522161505773,161.78,,49552.00000000001,1.2894195004391096,cold
Denmark,2005,8.397564687975644,164.23,0.9020000000000002,51960.0,1.2790335344663202,cold
Denmark,2006,9.014916286149163,162.08,,55354.00000000001,1.21771511844147,cold
Denmark,2007,9.218406593406595,139.95999999999998,,62229.0,1.2018563341401498,cold
Denmark,2008,9.116272009714637,143.04999999999998,,68446.99999999999,1.24551834093203,cold
Denmark,2009,8.618742368742364,144.7,,61863.0,1.3574270258777499,cold
Denmark,2010,6.88143074581431,130.02,0.9079999999999999,61711.00000000001,1.32062080798627,cold
Denmark,2011,8.74596651445967,126.33,0.92,65598.0,1.24894192072944,cold
Denmark,2012,8.219641772920465,143.20999999999998,0.9209999999999999,62071.00000000001,1.26073193919812,cold
Denmark,2013,8.278691019786907,134.54999999999998,0.9229999999999997,64831.00000000001,1.20194924146762,cold
Finland,1997,5.597412480974124,310.35,,26295.999999999996,1.53515505066012,cold
Finland,1998,5.139273622653124,301.43,,27645.999999999996,1.4631755578076495,cold
Finland,1999,6.592746913580245,283.10999999999996,,27800.000000000004,1.22310377157804,cold
Finland,2000,6.964480874316947,265.6499999999999,0.8570000000000001,25716.0,1.2411475036877802,cold
Finland,2001,5.7903621853898075,267.19000000000005,,26382.999999999996,1.14451283258445,cold
Finland,2002,5.895852677189718,255.52000000000004,,28389.999999999996,1.1546372286548598,cold
Finland,2003,5.7860024829298595,243.45000000000002,,34701.0,1.44685726264926,cold
Finland,2004,5.3948087431693965,243.95,,39793.0,1.4701635645735396,cold
Finland,2005,5.9353120243531245,230.51999999999998,0.8690000000000001,41202.0,1.4671904287827697,cold
Finland,2006,6.749844816883925,233.79999999999998,,43487.0,1.4447666748334804,cold
Finland,2007,6.507958371594737,223.08000000000004,,51088.99999999999,1.2908879440068703,cold
Finland,2008,7.012750455373408,220.29,,56521.00000000001,1.3949173943322506,cold
Finland,2009,5.580891330891334,228.48999999999998,,49878.0,1.5669325962351601,cold
Finland,2010,4.7862419205909505,215.21,0.8780000000000002,48939.0,1.5000740535632602,cold
Finland,2011,7.496254681647936,203.60999999999999,0.8810000000000001,53809.00000000001,1.4979504137268895,cold
Finland,2012,5.573818293431555,187.01,0.882,50232.0,1.5360898529978497,cold
Finland,2013,6.539224664224661,196.82999999999998,0.882,52572.0,1.5412761018599594,cold
France,1997,13.81925418569255,266.33,,26394.0,2.3754096531412694,cold
France,1998,13.040968342644307,253.65000000000003,,27189.999999999996,2.2262083065276803,cold
France,1999,13.387438949938948,245.83000000000004,,27117.999999999996,2.17784297022174,cold
France,2000,13.202337583485113,257.23,0.848,24648.0,2.08501824480333,cold
France,2001,12.895890410958913,239.94,,24795.999999999996,2.0306952899654602,cold
France,2002,13.202062172976307,238.63999999999996,,26714.000000000004,2.0462579903799196,cold
France,2003,13.550456621004562,241.30999999999997,,32655.999999999996,2.0956804128006,cold
France,2004,12.739905889496063,232.50999999999996,,37240.0,2.10435083527246,cold
France,2005,12.813366864807186,232.09,0.8670000000000001,38420.0,2.02370691892637,cold
France,2006,13.280593607305933,220.62999999999997,,40097.0,1.9750982998737399,cold
France,2007,12.849130036630024,213.69,,45682.00000000001,1.90752863357749,cold
France,2008,12.527206218564244,216.20999999999998,,49900.99999999999,1.8970758958190699,cold
France,2009,12.909416971916952,216.24,,45775.00000000001,2.0981473345272907,cold
France,2010,11.888432267884324,211.17,0.8810000000000001,44746.99999999999,1.9694193527524095,cold
